,café,canapé,caractéristiques,carré,case,comprendre,coton,coussin,couverture,cover,cycle,différence,décor,décoration,eau,fermeture,forfait,forme,haute,home,housse,inclus,intérieur,lavable,lavage,lin,lit,légère,main,maison,matériel,mesure,oreiller,pc,permettre,pillow,place,plaît,polyester,pouces,produit,qualité,raison,rideau,sofa,style,taie,throw,type,écran,category_code
19,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,0,3,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1920
20,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,1,1920
21,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1,1,3,0,1,0,1920
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1920
24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1920
25,0,1,1,1,0,1,2,2,0,1,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0,2,0,0,0,1,0,0,1,0,4,2,1,0,1920
26,1,2,1,2,0,0,0,3,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,2,0,4,0,1,0,0,1,0,0,0,1,2,0,0,0,5,0,1,1,1920
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
28,0,2,1,1,1,1,0,2,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,1,0,0,2,0,0,0,1,0,0,0,0,3,1,1,0,1920
29,0,2,0,0,0,1,2,2,0,0,1,0,2,0,2,1,0,0,1,2,0,0,0,1,1,3,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,1920
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1920
31,0,0,1,0,0,0,0,2,1,0,0,2,1,2,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,0,1,4,0,0,1,2,0,0,1,4,0,0,1,1920
32,1,2,0,0,1,1,1,2,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,2,1,0,0,1,1,4,1,1,0,2,2,0,0,0,1,0,0,0,0,3,0,1,0,1920
33,0,2,0,0,0,1,0,2,0,2,1,0,0,0,2,1,0,0,0,2,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,1,1920
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1920
35,0,4,0,0,1,0,3,4,0,1,0,1,0,2,0,1,1,0,0,0,1,2,1,0,1,1,2,0,0,1,0,1,5,0,1,2,0,1,0,1,2,0,3,0,0,0,2,1,0,0,1920
36,0,3,0,0,0,0,0,2,1,0,0,1,2,1,0,0,1,0,1,2,1,0,1,0,0,1,1,0,0,0,2,2,7,0,0,0,0,1,0,0,1,1,0,0,0,3,3,2,0,1,1920
37,1,1,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,1,4,1,1,1,2,2,0,0,0,1,0,0,2,0,2,0,0,0,1920
38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1920
39,1,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,1,1,1,0,1,0,1,0,0,1,1,2,1,1,0,1,2,0,0,0,0,0,0,2,0,3,2,0,0,1920
40,0,2,0,0,0,0,3,5,2,0,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1920
41,0,4,0,0,1,0,3,5,2,1,0,1,0,2,0,1,0,0,0,0,0,2,2,0,1,1,2,0,0,1,1,1,5,0,1,2,1,1,0,1,2,0,3,0,0,0,3,1,0,0,1920
42,1,4,0,0,0,0,0,2,1,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1920
43,1,3,1,1,2,1,0,4,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,3,0,1,0,0,0,1,2,1,1,1,1,2,0,0,0,1,0,0,0,0,2,0,1,0,1920
44,1,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,2,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,0,3,2,0,0,1920
45,0,3,0,0,1,0,2,5,2,0,0,0,2,1,0,1,0,0,2,0,2,0,0,0,0,3,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,4,0,1,0,1920
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
47,1,2,1,1,0,1,3,2,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,1,0,0,1,1,2,1,1,1,1,2,0,0,0,1,0,0,1,1,2,0,1,0,1920
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,3,0,0,0,1920
49,1,1,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,1,3,1,1,1,2,2,0,0,0,1,0,0,2,0,2,0,0,0,1920
50,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
51,0,2,0,0,0,1,0,2,0,2,1,0,1,0,2,1,0,0,1,2,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,3,0,0,1,1920
52,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,2,2,1,0,2,1,0,0,1,0,0,0,5,0,0,6,1,0,1,0,0,0,1,0,2,0,0,0,0,3,2,0,0,1920
53,1,3,0,1,1,1,0,1,2,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,1,2,0,0,0,0,0,0,0,1,4,1,1,0,1920
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1920
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1920
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
57,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1920
58,0,1,1,1,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0,2,0,0,0,1,0,0,1,0,4,2,1,0,1920
59,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1920
60,0,2,0,1,0,0,0,3,3,0,0,0,2,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,1920
61,0,2,0,0,0,1,0,2,0,2,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,3,0,0,1,1920
62,0,1,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1920
63,0,1,0,0,1,0,3,3,0,0,1,1,1,0,2,1,0,0,0,2,0,1,1,1,1,2,0,0,1,1,1,1,2,0,1,2,0,1,0,0,1,0,3,0,1,1,1,0,0,0,1920
64,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,11,0,1,0,0,0,1,1920
65,0,2,1,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,6,1,0,0,3,0,0,0,0,1,0,0,0,0,6,0,1,0,1920
66,1,4,0,1,1,1,0,2,2,0,0,0,0,3,0,0,0,1,1,0,0,1,1,0,0,1,3,1,0,1,0,1,6,1,1,0,1,2,0,0,0,1,0,0,0,0,4,0,1,0,1920
67,1,2,0,0,0,0,0,2,2,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,7,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,1920
68,1,2,1,1,0,1,0,2,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,2,0,0,0,1,0,0,1,0,3,2,0,0,1920
69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
70,1,2,1,0,1,1,0,5,0,1,0,0,1,0,0,0,0,1,1,2,1,1,0,1,0,0,0,1,0,0,1,1,3,1,1,0,2,2,0,0,0,1,0,0,1,0,1,2,0,0,1920
71,1,2,1,1,0,0,0,2,0,2,1,2,0,1,2,0,1,1,1,2,0,0,0,2,1,0,0,1,1,1,2,0,5,0,1,0,0,1,3,0,0,1,2,0,0,0,6,0,1,1,1920
72,0,2,1,1,0,1,0,2,0,0,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,1,4,1,1,0,0,2,0,0,0,1,0,0,0,0,3,1,1,0,1920
73,1,0,0,2,0,0,0,1,1,0,1,2,1,1,2,0,1,1,1,2,0,0,0,2,1,0,0,1,1,1,2,0,4,0,1,0,0,1,3,0,0,1,2,0,0,0,7,0,1,1,1920
74,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1920
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
76,0,0,0,0,1,0,1,2,0,0,1,0,1,0,2,1,1,0,0,2,0,0,0,1,1,3,0,0,2,1,1,0,4,1,0,1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,1920
77,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1920
78,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,8,0,1,0,0,0,0,1,0,0,0,1920
79,0,2,0,0,0,0,0,3,0,0,1,1,0,2,2,1,0,0,0,0,0,1,1,1,1,2,0,0,1,2,1,1,1,0,1,0,0,1,0,0,1,0,3,0,0,1,3,0,0,0,1920
80,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1920
81,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,1,1,1,0,0,2,1,1,0,3,1,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,1920
82,1,3,0,0,1,1,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,1,1,2,2,2,0,0,0,0,0,0,0,1,2,0,1,0,1920
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
84,1,1,0,1,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,1,3,1,1,0,1,2,0,0,0,0,0,0,2,0,4,2,1,0,1920
85,0,4,0,1,0,0,0,2,1,0,1,3,1,2,0,0,3,0,0,2,2,0,3,0,1,2,2,0,0,1,2,6,12,4,0,0,0,3,0,0,4,0,0,0,0,3,7,0,0,3,1920
86,0,0,1,1,0,1,0,2,0,2,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,2,0,0,0,1,0,0,2,0,4,2,1,0,1920
87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1920
88,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1920
89,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1920
90,1,2,1,1,1,1,3,2,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,1,0,0,1,1,4,1,1,2,1,2,0,0,0,1,0,0,1,1,2,0,1,0,1920
91,1,2,1,1,0,1,3,2,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,1,0,0,1,1,2,1,1,1,1,2,0,0,0,1,0,0,1,1,2,0,1,0,1920
92,1,2,1,2,0,0,0,4,0,0,0,2,2,1,0,0,1,1,1,2,3,0,0,1,0,0,0,1,0,1,2,0,4,0,1,0,0,1,3,0,0,1,2,0,0,0,2,0,1,1,1920
93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1920
94,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,1920
95,0,1,0,0,1,0,2,3,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,2,2,3,0,0,0,0,1,0,0,1,1,0,0,2,3,1,0,0,1,1920
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1920
97,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,11,1,0,0,0,1,0,0,1,0,0,0,0,3,6,0,0,1,1920
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
99,3,1,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,5,1,1,0,2,2,0,0,0,1,0,0,2,0,2,2,0,0,1920
100,1,2,1,1,1,0,0,2,0,2,1,2,0,1,2,0,1,1,1,2,0,0,0,2,1,0,0,1,1,1,2,0,4,0,1,1,0,1,3,0,0,1,2,0,0,0,5,0,1,1,1920
101,1,1,0,0,1,0,1,4,0,0,1,1,2,1,2,1,0,0,0,2,1,1,1,1,1,2,0,0,1,2,1,1,2,0,1,1,0,1,0,0,1,0,3,0,1,1,4,0,0,0,1920
102,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1920
103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1920
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
105,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1920
106,1,3,0,1,2,1,0,2,0,2,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,4,1,1,1,1,2,0,0,0,0,0,0,0,0,4,0,1,0,1920
107,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1920
109,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,1,1,3,0,0,1,1,1,0,4,1,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,1920
110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1920
111,0,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,1920
112,0,2,0,1,2,1,0,2,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,2,1,1,0,0,1,3,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1920
113,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,1,0,0,7,0,1,0,0,0,1,1920
114,0,2,0,0,0,1,0,2,0,2,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,3,0,0,1,1920
115,0,0,0,0,0,0,3,2,0,0,1,0,1,0,2,1,1,0,0,2,1,1,1,1,1,3,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,1920
116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1920
117,0,0,0,0,0,1,2,3,2,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,3,0,1,0,0,1,1,6,1,1,0,1,2,0,0,0,0,0,0,0,0,7,0,1,0,1920
118,1,1,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,1,3,1,1,1,2,2,0,0,0,1,0,0,2,0,2,0,0,0,1920
119,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1920
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1920
121,0,1,0,0,1,0,0,2,0,0,0,1,0,3,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2,2,7,1,0,1,0,1,0,0,1,1,0,0,0,3,3,2,0,1,1920
122,1,1,1,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,1,2,0,1,1,0,0,1,0,1,0,0,0,1,4,1,1,1,2,2,0,0,0,1,0,0,2,0,3,0,0,0,1920
123,0,2,1,1,1,1,0,2,1,0,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,1,4,1,1,1,0,2,0,0,0,1,0,0,0,0,4,1,1,0,1920
124,0,2,0,0,1,0,2,2,0,0,0,1,1,1,0,0,1,0,1,2,0,0,1,0,0,3,1,0,0,0,2,2,3,1,0,0,0,1,0,0,1,1,0,0,1,3,2,0,0,1,1920
125,0,2,0,1,1,0,2,3,1,1,1,3,0,2,0,0,3,0,0,0,0,0,0,0,1,4,2,0,0,1,2,6,10,4,0,0,0,3,0,0,4,0,0,0,0,5,5,0,0,3,1920
126,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1920
127,1,3,0,1,0,1,0,3,1,0,0,0,2,0,0,0,0,1,1,2,3,1,0,0,0,1,2,1,0,0,0,1,3,1,1,1,1,2,0,0,0,1,0,0,0,0,2,0,1,0,1920
128,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,2,2,3,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,1,1920
